items.id,items.label,items.authors,items.journal,items.country,items.year,items.date,items.month,items.url
11609,Tablas de Energía Vs Rigidez Magnética para 3He,Barragan-Vidal A,Revista Mexicana de Física,México,1959,Jan 1959,Jan 1959,
10536,Resonancia de  18F por bombardeo de  16O con deuterones,"G. Lopez, F. Alba, M.E. Ortiz",Revista Mexicana de Física,México,1959,Jan 1959,Jan 1959,
10538,Tablas de Valores de Momentos Angulares y Cuadrupolos Electricos de Estados Asociados con la Interacción Cuadrupolo-Cuadrupolo en un oscilador Armónico,Barragan-Vidal A,Revista Mexicana de Física,México,1960,1960,1960,NA
10537,Q-values of Nuclear Reactions in Light Element Region. Nuclidic Masses,"M. Mazari, R. Dominguez, A. Jaidar, J. Rickards, F. Alba,  G. Lopez and M.E. Ortiz",Edited by  H.  E.  Duckwort.  University of  Toronto Press,Estados Unidos de América,1960,1960,1960,
10539,Determinación de las características angulares de los estados  base y primer excitado de 17O  a energías moderadas (1.6 MeV) en y fuera de una resonancia de   18F,M. E. Ortiz,Revista Mexicana de Física,México,1961,1961,1961,
10540,Técnica del doble espectrógrafo para el estudio experimental de Distribuciones Angulares,"J. Rickards, M.E. Ortiz, M. Mazari, F. Alba, J. Dorantes y L. Velazquez",Proc. of the 4th International Symposium on the Paceful  Application of Nuclear Energy,Estados Unidos de América,1962,1962,1962,
10541,Un nuevo nivel de  24Na con una energía de excitación de 2.512 MeV,M.E. Ortiz,Revista Mexicana de Física,México,1963,Jan 1963,Jan 1963,
10542,"Angular  distributions  of  the    19F(d,p)20F  reaction and  angular momentum assigments to excited states of  20F","M.E. Ortiz, J. Rickards and M. Mazari",Nuclear Physics A,Estados Unidos de América,1964,1964,1964,
10543,"Asignación de momentos angulares de captura  del  neutrón  de  distribuciones angulares de  23Na(d,p)24Na",M.E. Ortiz y Lila Carrillo,Revista Mexicana de Física,México,1965,1965,1965,
10544,"Reacción 50V(d,p) 51V a 7.5 MeV","M.E. Ortiz, M. Mazari, T. Belote, W.E Dorenbush y O. Hansen",Revista Mexicana de Física,México,1966,1966,1966,
10545,"A   50V(d,p) Experiment","M.E. Ortiz, M. Mazari, T. Belote, W.E. Dorenbush and O. Hansen",Nuclear Physics A,Estados Unidos de América,1967,1967,1967,
10546,Mobility of the electron bubble in superfluid helium.,"G. Baym, R.G. Barrera y C.J. Pethick",Physical Review Letters,Estados Unidos de América,1969,1969,1969,NA
10547,Roton limited mobility of ions in superfluid helium.,R.G. Barrera y G. Baym,"Physical Review A: Atomic, Molecular, and Optical Physics",Estados Unidos de América,1972,1972,1972,NA
10552,"Structure of States in 20Ne from the Reactions 18O(11B,9Li)20Ne and 16O(11B,7Li)20Ne","D. Strottman, N. Anyas-Weiss, J.C. Cornell, P.S. Fisher,P.N. Hudson, A. Menchaca-Rocha, A.D. Panagiotou and D.K. Scott",Physics Letters B,Estados Unidos de América,1973,1973,1973,NA
10551,"Notas sobre el montaje, enfoque y calibración de un espectrógrafo Mattauch-Elbeck. S","M. Mazari, R. Ross, F. Aldape,  D.  Olmos,  N.  Palacios,  E. Godinez, M.E. Ortiz y A. Dacal",Revista Mexicana de Física,México,1973,1973,1973,NA
10548,12C + 12C elastic and inelastic scattering at 114 and 174 MeV,"N. Anyas-Weiss, J.A. Becker, T.A. Belote Cornell, P.S. Fisher, P.N. Hudson, A. Menchaca-Rocha D.A. Panagiotou and D.K. Scott",Physics Letters B,Estados Unidos de América,1973,1973,1973,", , http://www.scopus.com/scopus/inward/record.url?eid=2-s2.0-49549171039&partnerID=40, 0"
10550,"Heavy-Ion Transfer Reactions on 208Pb Above the Coulomb Barrier""","N. Anyas-Weiss, J.A. Becker, T.A. Belote, J.C. Cornell, P.S. Fisher, P.N. Hudson, A. Menchaca-Rocha, A.D. Panagiotou and D.K. Scott",Physics Letters B,Estados Unidos de América,1973,1973,1973,", , http://www.scopus.com/scopus/inward/record.url?eid=2-s2.0-49549170968&partnerID=40, 0"
10549,Compound system formation at Ec.m.=36 MeV in N14 + C12 â†’ Li6 + Ne20,"T.A. Belote, N. Anyas-Weiss, J.A. Becker,J.C. Cornell, P.S. Fisher, P.N. Hudson, A. Menchaca-Rocha, A.D. Panagiotou, and D.K. Scott",Physical Review Letters,Estados Unidos de América,1973,1973,1973,", , http://www.scopus.com/scopus/inward/record.url?eid=2-s2.0-4243468000&partnerID=40, 4"
10554,"Angular correlation study of the 16O(7Li,t 16O)4He reaction","A.D Panagiotou, J.C. Cornell, N. Anyas-Weiss, P.N. Hudson, A. Menchaca-Rocha, D.K. Scott and B.E.F. Macefield",Journal of Physics A: Mathematical and Theoretical,Reino Unido,1974,1974,1974,", , http://www.scopus.com/scopus/inward/record.url?eid=2-s2.0-0039697653&partnerID=40, 1"
10556,Efficiency of 8Be detection using counter telescopes with circular and rectangular collimation,A.Menchaca-Rocha,"Nuclear Instruments & Methods in Physics Research Section A: Accelerators, Spectrometers, Detectors and Associated Equipment",Holanda,1974,1974,1974,", , http://www.scopus.com/scopus/inward/record.url?eid=2-s2.0-49549148501&partnerID=40, 0"
10557,"Evidence for simple alpha-particle transfer in the(20Ne, 16 o) reaction","A. Menchaca-Rocha, J.C. Cornell, P.S. Fisher, I. Paschopoulos, A.A. Pilt and D. Sinclair",Europhysics Letters,Estados Unidos de América,1974,1974,1974,", , http://www.scopus.com/scopus/inward/record.url?eid=2-s2.0-51649186158&partnerID=40, 0"
10560,Un nuevo laboratorio de Colisiones,"J.Rickards, A. Barragan, E. Andrade, J. Dorantes, K. Lopez, F. Mercado, A. Dacal, M.E. Ortiz y M. Mazari",Revista Mexicana de Física,México,1974,1974,1974,NA
