cliente_nomenclatura,campaña_nomenclatura,llave_ventas,llave_unica_mp,versión,tipo_presupuesto,tipo_2,comentario,Año-Mes,mes_plan,campaña_nomenclatura,plataforma,fecha_inicio_plan,fecha_fin_plan,inicio_campaña,fin_campaña,costo_planeado,kpi_planeado,serving,inversión_plataforma,inversión_total,inversión_AdOps,Operativo_AdOps,Serving_AdOps,costo_operativo,inicio_reporte,fin_reporte,inicio_campaña_reporte,fin_campaña_reporte,divisa,dinero_gastado,impresiones,clics,conversiones,revenue,llave_analytics,conversiones_directas,conversiones_asistidas,revenue_directo,revenue_asistido,total_conversiones,total_revenue,ultima_actualizacion
acer,encasa,2003_acer_encasa_pi_mkt_fb,2003_acer_encasa_pi_mkt_fb_V1,V1,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2003,Marzo,encasa,Facebook,2020-03-23 0:00:00,2020-04-05 0:00:00,2020-03-26 0:00:00,2020-04-30 0:00:00,4.35,2331,0,10135.5,10135.5,10135.5,10135.5,0,4.35,2020-03-01 0:00:00,2020-03-31 0:00:00,2020-03-26 0:00:00,2020-03-31 0:00:00,MXN,370.69,42747,636,0,0,2003_acer_encasa_pi_mkt_fb_2020-03-01,0,0,0,0,0,0,2020-04-30 10:13:12
acer,intelgaming,2003_acer_intelgaming_pi_mkt_fb,2003_acer_intelgaming_pi_mkt_fb_V9,V9,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2003,Marzo,intelgaming,Facebook,2020-03-11 0:00:00,2020-03-31 0:00:00,2020-03-13 0:00:00,2020-03-31 0:00:00,3.26,14203,0,45500,45500,45500,45500,0,3.26,2020-03-01 0:00:00,2020-03-31 0:00:00,2020-03-13 0:00:00,2020-03-31 0:00:00,MXN,27300,3507539,19204,0,0,2003_acer_intelgaming_pi_mkt_fb_2020-03-01,0,0,0,0,0,0,2020-04-30 10:13:12
acer,intelgaming,2003_acer_intelgaming_pi_mkt_sem,2003_acer_intelgaming_pi_mkt_sem_V2,V2,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2003,Marzo,intelgaming,Google Search,2020-03-05 0:00:00,2020-03-16 0:00:00,2020-03-23 0:00:00,2020-03-31 0:00:00,9,500,0,4500,4500,6475,6475,0,9,2020-03-01 0:00:00,2020-03-31 0:00:00,2020-03-23 0:00:00,2020-03-31 0:00:00,MXN,4122.945,14489.5,725.5,0,0,2003_acer_intelgaming_pi_mkt_sem_2020-03-01,0,0,0,0,0,0,2020-04-30 10:13:12
acer,intelgaming,2003_acer_intelgaming_pi_mkt_sem,2003_acer_intelgaming_pi_mkt_sem_V9,V9,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2003,Marzo,intelgaming,Google Search,2020-03-11 0:00:00,2020-03-31 0:00:00,2020-03-23 0:00:00,2020-03-31 0:00:00,9,578,0,5200,5200,6475,6475,0,9,2020-03-01 0:00:00,2020-03-31 0:00:00,2020-03-23 0:00:00,2020-03-31 0:00:00,MXN,4122.945,14489.5,725.5,0,0,2003_acer_intelgaming_pi_mkt_sem_2020-03-01,0,0,0,0,0,0,2020-04-30 10:13:12
acer,liverpool,2003_acer_liverpool_pi_mkt_fb,2003_acer_liverpool_pi_mkt_fb_V2,V2,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2003,Marzo,liverpool,Facebook,2020-03-13 0:00:00,2020-03-16 0:00:00,2020-03-13 0:00:00,2020-03-16 0:00:00,3.26,3968,0,12750,12750,12750,12750,0,3.26,2020-03-01 0:00:00,2020-03-31 0:00:00,2020-03-13 0:00:00,2020-03-16 0:00:00,MXN,5250,550313,4914,0,0,2003_acer_liverpool_pi_mkt_fb_2020-03-01,0,0,0,0,0,0,2020-04-30 10:13:12
acer,palacio,2003_acer_palacio_pi_mkt_fb,2003_acer_palacio_pi_mkt_fb_V2,V2,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2003,Marzo,palacio,Facebook,2020-03-05 0:00:00,2020-03-15 0:00:00,2020-03-13 0:00:00,2020-03-15 0:00:00,3.26,3968,0,12750,12750,12750,12750,0,3.26,2020-03-01 0:00:00,2020-03-31 0:00:00,2020-03-13 0:00:00,2020-03-15 0:00:00,MXN,5250,471788,3003,0,0,2003_acer_palacio_pi_mkt_fb_2020-03-01,0,0,0,0,0,0,2020-04-30 10:13:12
gicsa,explanadaculiacan,2003_gicsa_explanadaculiacan_pi_mkt_fb,2003_gicsa_explanadaculiacan_pi_mkt_fb_V1,V1,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2003,Marzo,explanadaculiacan,Facebook,2020-03-01 0:00:00,2020-03-31 0:00:00,2020-03-05 0:00:00,2020-03-31 0:00:00,25,1720,0,43000,43000,43000,43000,0,25,2020-03-01 0:00:00,2020-03-31 0:00:00,2020-03-05 0:00:00,2020-03-31 0:00:00,MXN,17154.1,244473,1281,0,0,2003_gicsa_explanadaculiacan_pi_mkt_fb_2020-03-01,0,0,0,0,0,0,2020-04-30 10:13:12
gicsa,explanadaculiacan,2003_gicsa_explanadaculiacan_pi_mkt_sem,2003_gicsa_explanadaculiacan_pi_mkt_sem_V1,V1,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2003,Marzo,explanadaculiacan,Google Search,2020-03-01 0:00:00,2020-03-31 0:00:00,2020-03-06 0:00:00,2020-03-31 0:00:00,12,1792,0,21500,21500,21500,21500,0,12,2020-03-01 0:00:00,2020-03-31 0:00:00,2020-03-06 0:00:00,2020-03-31 0:00:00,MXN,218.87,537,10,0,0,2003_gicsa_explanadaculiacan_pi_mkt_sem_2020-03-01,0,0,0,0,0,0,2020-04-30 10:13:12
gicsa,explanadapachuca,2001_gicsa_explanadapachuca_pi_mkt_fb,2001_gicsa_explanadapachuca_pi_mkt_fb_V2,V2,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2001,Enero,explanadapachuca,Facebook,2020-01-01 0:00:00,2020-01-31 0:00:00,2020-01-02 0:00:00,2020-01-31 0:00:00,2.825,36421,0,38700,38700,38700,38700,0,2.825,2020-01-01 0:00:00,2020-01-31 0:00:00,2020-01-02 0:00:00,2020-01-31 0:00:00,MXN,36805.66,6003964,11566,0,0,2001_gicsa_explanadapachuca_pi_mkt_fb_2020-01-01,0,0,0,0,0,0,2020-04-30 10:13:12
gicsa,explanadapachuca,2001_gicsa_explanadapachuca_pi_mkt_sem,2001_gicsa_explanadapachuca_pi_mkt_sem_V2,V2,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2001,Enero,explanadapachuca,Google Search,2020-01-01 0:00:00,2020-01-31 0:00:00,2019-09-06 0:00:00,2020-03-31 0:00:00,12,1075,0,12900,12900,12900,12900,0,12,2020-01-01 0:00:00,2020-01-31 0:00:00,2020-01-01 0:00:00,2020-01-31 0:00:00,MXN,12875.98,61340,13076,0,0,2001_gicsa_explanadapachuca_pi_mkt_sem_2020-01-01,0,0,0,0,0,0,2020-04-30 10:13:12
gicsa,explanadapachuca,2002_gicsa_explanadapachuca_pi_mkt_fb,2002_gicsa_explanadapachuca_pi_mkt_fb_V2,V2,pi,mkt,"información correcta, que tenemos en el mp y en las plataformas",2002,Febrero,explanadapachuca,Facebook,2020-02-01 0:00:00,2020-02-28 0:00:00,2020-01-31 0:00:00,2020-02-02 0:00:00,2.825,36421,0,38700,38700,38700,38700,0,2.825,2020-01-01 0:00:00,2020-01-31 0:00:00,2020-01-31 0:00:00,2020-01-31 0:00:00,MXN,25.48,2340,0,0,0,2002_gicsa_explanadapachuca_pi_mkt_fb_2020-01-01,0,0,0,0,0,0,2020-04-30 10:13:12
