"cliente_nomenclatura","campaña_nomenclatura","llave_ventas","llave_unica_mp","versión","tipo_presupuesto","tipo_2","comentario","Año-Mes","mes_plan","campaña_nomenclatura","plataforma","fecha_inicio_plan","fecha_fin_plan","inicio_campaña","fin_campaña","costo_planeado","kpi_planeado","serving","inversión_plataforma","inversión_total","inversión_AdOps","Operativo_AdOps","Serving_AdOps","costo_operativo","semana","inicio_reporte","fin_reporte","inicio_campaña_reporte","fin_campaña_reporte","divisa","dinero_gastado","impresiones","clics","conversiones","revenue","llave_analytics","conversiones_directas","conversiones_asistidas","revenue_directo","revenue_asistido","total_conversiones","total_revenue","ultima_actualizacion"
"acer","clicktobuy","2004_acer_clicktobuy_pi_mkt_fb","2004_acer_clicktobuy_pi_mkt_fb_V2","V2","pi","mkt","información correcta, que tenemos en el mp y en las plataformas",2004,"Abril","clicktobuy","Facebook","2020-04-08 0:00:00","2020-04-30 0:00:00","2020-04-08 0:00:00","2020-04-30 0:00:00",4.35,7586,0,"33000.00","33000.00","33000.00","33000.00",0,4.35,"semana_13","2020-04-01 0:00:00","2020-04-08 0:00:00","2020-04-08 0:00:00","2020-04-08 0:00:00","MXN",0,17,2,0,0,"2004_acer_clicktobuy_pi_mkt_fb_2020-04-01",0,0,0,0,0,0,"2020-04-30 10:32:07"
"acer","clicktobuy","2004_acer_clicktobuy_pi_mkt_fb","2004_acer_clicktobuy_pi_mkt_fb_V2","V2","pi","mkt","información correcta, que tenemos en el mp y en las plataformas",2004,"Abril","clicktobuy","Facebook","2020-04-08 0:00:00","2020-04-30 0:00:00","2020-04-08 0:00:00","2020-04-30 0:00:00",0,0,0,0,0,0,0,0,0,"semana_14","2020-04-09 0:00:00","2020-04-16 0:00:00","2020-04-09 0:00:00","2020-04-16 0:00:00","MXN",5085,481792,3601,0,0,"2004_acer_clicktobuy_pi_mkt_fb_2020-04-09",0,0,0,0,0,0,"2020-04-30 10:32:07"
"acer","clicktobuy","2004_acer_clicktobuy_pi_mkt_fb","2004_acer_clicktobuy_pi_mkt_fb_V2","V2","pi","mkt","información correcta, que tenemos en el mp y en las plataformas",2004,"Abril","clicktobuy","Facebook","2020-04-08 0:00:00","2020-04-30 0:00:00","2020-04-08 0:00:00","2020-04-30 0:00:00",0,0,0,0,0,0,0,0,0,"semana_15","2020-04-17 0:00:00","2020-04-24 0:00:00","2020-04-17 0:00:00","2020-04-24 0:00:00","MXN",8393,534098,3579,0,0,"2004_acer_clicktobuy_pi_mkt_fb_2020-04-17",0,0,0,0,0,0,"2020-04-30 10:32:07"
"acer","clicktobuy","2004_acer_clicktobuy_pi_mkt_gdn","2004_acer_clicktobuy_pi_mkt_gdn_V2","V2","pi","mkt","información correcta, que tenemos en el mp y en las plataformas",2004,"Abril","clicktobuy","Google Display","2020-04-08 0:00:00","2020-04-30 0:00:00","2020-04-08 0:00:00","2020-04-30 0:00:00",2.5,5544,0,"13862.12","13862.12","13862.12","13862.12",0,2.5,"semana_14","2020-04-09 0:00:00","2020-04-16 0:00:00","2020-04-09 0:00:00","2020-04-16 0:00:00","MXN",2256,331667.5,2154.5,0,0,"2004_acer_clicktobuy_pi_mkt_gdn_2020-04-09",0,0,0,0,0,0,"2020-04-30 10:32:07"
"acer","clicktobuy","2004_acer_clicktobuy_pi_mkt_gdn","2004_acer_clicktobuy_pi_mkt_gdn_V2","V2","pi","mkt","información correcta, que tenemos en el mp y en las plataformas",2004,"Abril","clicktobuy","Google Display","2020-04-08 0:00:00","2020-04-30 0:00:00","2020-04-08 0:00:00","2020-04-30 0:00:00",0,0,0,0,0,0,0,0,0,"semana_15","2020-04-17 0:00:00","2020-04-24 0:00:00","2020-04-17 0:00:00","2020-04-24 0:00:00","MXN",6211,718929.5,5013,0,0,"2004_acer_clicktobuy_pi_mkt_gdn_2020-04-17",0,0,0,0,0,0,"2020-04-30 10:32:07"
"acer","encasa","2003_acer_encasa_pi_mkt_fb","2003_acer_encasa_pi_mkt_fb_V1","V1","pi","mkt","información correcta, que tenemos en el mp y en las plataformas",2003,"Marzo","encasa","Facebook","2020-03-23 0:00:00","2020-04-05 0:00:00","2020-03-26 0:00:00","2020-04-30 0:00:00",4.35,2331,0,"10135.50","10135.50","10135.50","10135.50",0,4.35,"semana_12","2020-03-25 0:00:00","2020-03-31 0:00:00","2020-03-26 0:00:00","2020-03-31 0:00:00","MXN",371,42747,636,0,0,"2003_acer_encasa_pi_mkt_fb_2020-03-25",0,0,0,0,0,0,"2020-04-30 10:32:07"
"acer","encasa","2003_acer_encasa_pi_mkt_fb","2003_acer_encasa_pi_mkt_fb_V1","V1","pi","mkt","información correcta, que tenemos en el mp y en las plataformas",2003,"Marzo","encasa","Facebook","2020-03-23 0:00:00","2020-04-05 0:00:00","2020-03-26 0:00:00","2020-04-30 0:00:00",0,0,0,0,0,0,0,0,0,"semana_13","2020-04-01 0:00:00","2020-04-08 0:00:00","2020-04-01 0:00:00","2020-04-08 0:00:00","MXN",3699,515872,3211,0,0,"2003_acer_encasa_pi_mkt_fb_2020-04-01",0,0,0,0,0,0,"2020-04-30 10:32:07"
"acer","encasa","2003_acer_encasa_pi_mkt_fb","2003_acer_encasa_pi_mkt_fb_V1","V1","pi","mkt","información correcta, que tenemos en el mp y en las plataformas",2003,"Marzo","encasa","Facebook","2020-03-23 0:00:00","2020-04-05 0:00:00","2020-03-26 0:00:00","2020-04-30 0:00:00",0,0,0,0,0,0,0,0,0,"semana_14","2020-04-09 0:00:00","2020-04-16 0:00:00","2020-04-09 0:00:00","2020-04-16 0:00:00","MXN",6526,863762,5079,0,0,"2003_acer_encasa_pi_mkt_fb_2020-04-09",0,0,0,0,0,0,"2020-04-30 10:32:07"
"acer","encasa","2003_acer_encasa_pi_mkt_fb","2003_acer_encasa_pi_mkt_fb_V1","V1","pi","mkt","información correcta, que tenemos en el mp y en las plataformas",2003,"Marzo","encasa","Facebook","2020-03-23 0:00:00","2020-04-05 0:00:00","2020-03-26 0:00:00","2020-04-30 0:00:00",0,0,0,0,0,0,0,0,0,"semana_15","2020-04-17 0:00:00","2020-04-24 0:00:00","2020-04-17 0:00:00","2020-04-24 0:00:00","MXN",6928,876620,4603,0,0,"2003_acer_encasa_pi_mkt_fb_2020-04-17",0,0,0,0,0,0,"2020-04-30 10:32:07"
"acer","intelgaming","2003_acer_intelgaming_pi_mkt_fb","2003_acer_intelgaming_pi_mkt_fb_V9","V9","pi","mkt","información correcta, que tenemos en el mp y en las plataformas",2003,"Marzo","intelgaming","Facebook","2020-03-11 0:00:00","2020-03-31 0:00:00","2020-03-13 0:00:00","2020-03-31 0:00:00",3.26,14203,0,"45500.00","45500.00","45500.00","45500.00",0,3.26,"semana_10","2020-03-09 0:00:00","2020-03-16 0:00:00","2020-03-13 0:00:00","2020-03-16 0:00:00","MXN",4278,542792,3169,0,0,"2003_acer_intelgaming_pi_mkt_fb_2020-03-09",0,0,0,0,0,0,"2020-04-30 10:32:07"
